SEASON,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME
2020,1610612747,LAL,Los Angeles Lakers,22000640,2021-03-20,LAL vs. ATL,L,11,10,3,6,0.5,1,2,0.5,3,3,1.0,0,1,1,4,0,0,1,0,-1.0,True
2020,1610612747,LAL,Los Angeles Lakers,22000630,2021-03-18,LAL vs. CHA,W,37,37,14,23,0.609,4,9,0.444,5,6,0.833,1,7,8,6,1,1,3,2,1.4,True
2020,1610612747,LAL,Los Angeles Lakers,22000615,2021-03-16,LAL vs. MIN,W,31,25,8,14,0.571,4,7,0.571,5,5,1.0,1,11,12,12,0,1,4,0,0.0,True
2020,1610612747,LAL,Los Angeles Lakers,22000608,2021-03-15,LAL @ GSW,W,30,22,8,13,0.615,2,4,0.5,4,6,0.667,1,9,10,11,0,0,6,3,6.6,False
2020,1610612747,LAL,Los Angeles Lakers,22000585,2021-03-12,LAL vs. IND,W,34,18,5,13,0.385,1,4,0.25,7,11,0.636,0,3,3,10,1,0,3,4,2.2,True
2020,1610612747,LAL,Los Angeles Lakers,22000542,2021-03-02,LAL vs. PHX,L,38,38,16,24,0.667,3,8,0.375,3,5,0.6,0,5,5,6,2,1,3,1,0.4,True
2020,1610612747,LAL,Los Angeles Lakers,22000527,2021-02-28,LAL vs. GSW,W,24,19,7,12,0.583,3,5,0.6,2,4,0.5,2,4,6,4,2,2,2,2,3.6,True
2020,1610612747,LAL,Los Angeles Lakers,22000512,2021-02-26,LAL vs. POR,W,36,28,11,21,0.524,2,5,0.4,4,8,0.5,1,10,11,7,4,3,2,1,1.8,True
2020,1610612747,LAL,Los Angeles Lakers,22000497,2021-02-24,LAL @ UTA,L,28,19,7,13,0.538,1,5,0.2,4,5,0.8,0,4,4,4,1,0,4,0,-4.0,False
2020,1610612747,LAL,Los Angeles Lakers,22000479,2021-02-22,LAL vs. WAS,L,43,31,14,29,0.483,2,10,0.2,1,3,0.333,0,9,9,13,1,0,8,2,0.6,True
2020,1610612747,LAL,Los Angeles Lakers,22000463,2021-02-20,LAL vs. MIA,L,37,19,7,21,0.333,1,8,0.125,4,4,1.0,1,8,9,9,1,1,5,3,2.2,True
2020,1610612747,LAL,Los Angeles Lakers,22000446,2021-02-18,LAL vs. BKN,L,33,32,14,23,0.609,1,6,0.167,3,6,0.5,0,8,8,7,0,0,3,1,-1.4,True
2020,1610612747,LAL,Los Angeles Lakers,22000431,2021-02-16,LAL @ MIN,W,38,30,13,20,0.65,1,4,0.25,3,4,0.75,0,13,13,7,0,1,5,1,0.8,False
2020,1610612747,LAL,Los Angeles Lakers,22000416,2021-02-14,LAL @ DEN,L,31,22,9,18,0.5,0,5,0.0,4,7,0.571,1,9,10,9,0,1,1,2,-3.4,False
2020,1610612747,LAL,Los Angeles Lakers,22000403,2021-02-12,LAL vs. MEM,W,34,28,9,15,0.6,1,4,0.25,9,14,0.643,1,8,9,8,2,0,5,2,1.6,True
2020,1610612747,LAL,Los Angeles Lakers,22000390,2021-02-10,LAL vs. OKC,W,41,25,9,20,0.45,3,9,0.333,4,4,1.0,0,6,6,7,2,0,5,2,1.2,True
2020,1610612747,LAL,Los Angeles Lakers,22000374,2021-02-08,LAL vs. OKC,W,43,28,11,22,0.5,2,10,0.2,4,5,0.8,0,14,14,12,2,2,5,3,1.6,True
2020,1610612747,LAL,Los Angeles Lakers,22000361,2021-02-06,LAL vs. DET,W,46,33,13,26,0.5,3,7,0.429,4,6,0.667,0,5,5,11,4,0,7,3,1.6,True
2020,1610612747,LAL,Los Angeles Lakers,22000341,2021-02-04,LAL vs. DEN,W,35,27,12,19,0.632,2,5,0.4,1,2,0.5,0,10,10,10,0,1,2,1,4.2,True
2020,1610612747,LAL,Los Angeles Lakers,22000313,2021-02-01,LAL @ ATL,W,38,21,5,12,0.417,2,6,0.333,9,11,0.818,0,7,7,9,2,1,2,0,2.0,False
2020,1610612747,LAL,Los Angeles Lakers,22000302,2021-01-30,LAL @ BOS,W,37,21,7,17,0.412,4,11,0.364,3,5,0.6,1,6,7,7,0,1,5,3,2.2,False
2020,1610612747,LAL,Los Angeles Lakers,22000284,2021-01-28,LAL @ DET,L,36,22,8,19,0.421,4,8,0.5,2,3,0.667,2,5,7,10,1,0,2,2,-1.8,False
2020,1610612747,LAL,Los Angeles Lakers,22000276,2021-01-27,LAL @ PHI,L,39,34,12,22,0.545,2,5,0.4,8,11,0.727,0,6,6,7,0,0,3,3,0.8,False
2020,1610612747,LAL,Los Angeles Lakers,22000261,2021-01-25,LAL @ CLE,W,38,46,19,26,0.731,7,11,0.636,1,2,0.5,0,8,8,6,2,2,3,1,2.2,False
2020,1610612747,LAL,Los Angeles Lakers,22000245,2021-01-23,LAL @ CHI,W,29,17,6,16,0.375,0,2,0.0,5,8,0.625,0,11,11,6,2,0,6,1,1.8,False
2020,1610612747,LAL,Los Angeles Lakers,22000226,2021-01-21,LAL @ MIL,W,38,34,13,25,0.52,6,10,0.6,2,2,1.0,1,5,6,8,1,1,3,2,3.0,False
2020,1610612747,LAL,Los Angeles Lakers,22000212,2021-01-18,LAL vs. GSW,L,38,19,6,16,0.375,2,7,0.286,5,8,0.625,0,5,5,5,1,0,5,1,-1.8,True
2020,1610612747,LAL,Los Angeles Lakers,22000187,2021-01-15,LAL vs. NOP,W,31,21,6,11,0.545,2,6,0.333,7,7,1.0,1,7,8,11,1,0,3,3,2.8,True
2020,1610612747,LAL,Los Angeles Lakers,22000170,2021-01-13,LAL @ OKC,W,27,26,9,20,0.45,5,8,0.625,3,4,0.75,0,6,6,7,0,0,2,2,2.8,False
2020,1610612747,LAL,Los Angeles Lakers,22000161,2021-01-12,LAL @ HOU,W,29,26,10,20,0.5,4,9,0.444,2,4,0.5,1,7,8,5,0,1,5,0,3.0,False
2020,1610612747,LAL,Los Angeles Lakers,22000146,2021-01-10,LAL @ HOU,W,30,18,7,15,0.467,1,6,0.167,3,6,0.5,1,6,7,7,1,1,2,2,2.0,False
2020,1610612747,LAL,Los Angeles Lakers,22000131,2021-01-08,LAL vs. CHI,W,34,28,11,21,0.524,0,5,0.0,6,8,0.75,0,7,7,7,0,0,4,1,1.8,True
2020,1610612747,LAL,Los Angeles Lakers,22000121,2021-01-07,LAL vs. SAS,L,35,27,8,15,0.533,4,7,0.571,7,11,0.636,0,6,6,12,0,0,4,3,-2.0,True
2020,1610612747,LAL,Los Angeles Lakers,22000103,2021-01-05,LAL @ MEM,W,34,26,11,20,0.55,1,4,0.25,3,3,1.0,2,10,12,7,1,1,6,0,4.0,False
