SEASON,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME
2018,1610612742,DAL,Dallas Mavericks,21800309,2018-11-28,DAL @ HOU,W,24,20,6,11,0.545,3,7,0.429,5,5,1.0,2,4,6,2,1,0,4,2,-1.2,False
2018,1610612742,DAL,Dallas Mavericks,21800283,2018-11-24,DAL vs. BOS,W,31,15,5,11,0.455,3,4,0.75,2,2,1.0,0,0,0,8,3,1,3,0,1.6,True
2018,1610612742,DAL,Dallas Mavericks,21800261,2018-11-21,DAL vs. BKN,W,34,21,5,11,0.455,2,3,0.667,9,11,0.818,2,7,9,4,2,0,3,4,0.2,True
2018,1610612742,DAL,Dallas Mavericks,21800244,2018-11-19,DAL @ MEM,L,37,15,6,20,0.3,3,9,0.333,0,0,,1,9,10,3,0,1,3,2,0.6,False
2018,1610612742,DAL,Dallas Mavericks,21800232,2018-11-17,DAL vs. GSW,W,36,24,9,20,0.45,2,8,0.25,4,4,1.0,1,8,9,4,0,0,3,3,3.6,True
2018,1610612742,DAL,Dallas Mavericks,21800210,2018-11-14,DAL vs. UTA,W,25,13,5,13,0.385,2,4,0.5,1,2,0.5,1,5,6,2,2,1,3,1,3.4,True
2018,1610612742,DAL,Dallas Mavericks,21800193,2018-11-12,DAL @ CHI,W,32,11,3,12,0.25,2,7,0.286,3,4,0.75,2,4,6,3,1,0,3,1,-2.6,False
2018,1610612742,DAL,Dallas Mavericks,21800181,2018-11-10,DAL vs. OKC,W,31,22,9,15,0.6,1,4,0.25,3,4,0.75,0,6,6,8,1,0,4,4,3.2,True
2018,1610612742,DAL,Dallas Mavericks,21800160,2018-11-07,DAL @ UTA,L,35,24,7,14,0.5,3,4,0.75,7,7,1.0,1,5,6,2,0,0,5,3,-3.0,False
2018,1610612742,DAL,Dallas Mavericks,21800150,2018-11-06,DAL vs. WAS,W,33,23,9,16,0.563,2,7,0.286,3,3,1.0,1,6,7,3,1,0,5,2,2.2,True
2018,1610612742,DAL,Dallas Mavericks,21800121,2018-11-02,DAL vs. NYK,L,35,18,8,15,0.533,2,6,0.333,0,1,0.0,2,7,9,6,1,0,4,3,-2.0,True
2018,1610612742,DAL,Dallas Mavericks,21800109,2018-10-31,DAL @ LAL,L,28,14,5,11,0.455,3,6,0.5,1,2,0.5,1,4,5,7,1,0,2,2,-2.6,False
2018,1610612742,DAL,Dallas Mavericks,21800094,2018-10-29,DAL @ SAS,L,40,31,11,18,0.611,4,6,0.667,5,6,0.833,2,6,8,4,1,1,6,0,1.4,False
2018,1610612742,DAL,Dallas Mavericks,21800084,2018-10-28,DAL vs. UTA,L,37,14,5,13,0.385,2,6,0.333,2,2,1.0,1,5,6,5,1,0,5,1,0.8,True
2018,1610612742,DAL,Dallas Mavericks,21800069,2018-10-26,DAL @ TOR,L,35,22,7,14,0.5,4,6,0.667,4,4,1.0,1,4,5,4,0,0,3,1,0.0,False
2018,1610612742,DAL,Dallas Mavericks,21800052,2018-10-24,DAL @ ATL,L,34,21,7,18,0.389,2,9,0.222,5,8,0.625,0,9,9,2,1,1,3,2,-2.4,False
2018,1610612742,DAL,Dallas Mavericks,21800044,2018-10-22,DAL vs. CHI,W,36,19,7,14,0.5,3,8,0.375,2,2,1.0,0,3,3,6,1,0,3,3,1.0,True
2018,1610612742,DAL,Dallas Mavericks,21800032,2018-10-20,DAL vs. MIN,W,36,26,8,16,0.5,4,9,0.444,6,9,0.667,1,5,6,3,2,1,6,3,0.8,True
2018,1610612742,DAL,Dallas Mavericks,21800013,2018-10-17,DAL @ PHX,L,32,10,5,16,0.313,0,5,0.0,0,2,0.0,2,6,8,4,0,0,4,3,-3.6,False
